downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.0003,-110,0.04,0.98222,9.7992
16000,0.0003,-110,0.06,0.97778,9.2701
16000,0.0003,-110,0.08,0.97333,9.265
16000,0.0003,-110,0.1,0.96778,9.3858
16000,0.0003,-110,0.12,0.95333,9.1069
16000,0.0003,-110,0.14,0.94222,9.2412
16000,0.0003,-110,0.16,0.92444,9.0416
16000,0.0003,-110,0.18,0.90222,8.9603
16000,0.0003,-110,0.2,0.87444,8.8784
16000,0.0003,-100,0.02,0.97556,9.0267
16000,0.0003,-100,0.04,0.96889,9.102
16000,0.0003,-100,0.06,0.95778,9.3388
16000,0.0003,-100,0.08,0.94,9.2965
16000,0.0003,-100,0.1,0.92,9.4561
16000,0.0003,-100,0.12,0.89778,9.5001
16000,0.0003,-100,0.14,0.88111,9.5914
16000,0.0003,-100,0.16,0.85444,9.3645
16000,0.0003,-100,0.18,0.81667,9.016
16000,0.0003,-100,0.2,0.78333,9.1568
16000,0.0003,-90,0.02,0.95889,9.1587
16000,0.0003,-90,0.04,0.93,8.9923
16000,0.0003,-90,0.06,0.91333,9.0738
16000,0.0003,-90,0.08,0.88889,8.891
16000,0.0003,-90,0.1,0.86111,8.9324
16000,0.0003,-90,0.12,0.82778,8.9316
16000,0.0003,-90,0.14,0.78556,9.1955
16000,0.0003,-90,0.16,0.74111,9.3299
16000,0.0003,-90,0.18,0.70444,9.4179
16000,0.0003,-90,0.2,0.65,9.4077
16000,0.0003,-80,0.02,0.91556,9.2109
16000,0.0003,-80,0.04,0.87111,9.3925
16000,0.0003,-80,0.06,0.83556,9.3438
16000,0.0003,-80,0.08,0.8,9.2057
16000,0.0003,-80,0.1,0.74778,9.1383
16000,0.0003,-80,0.12,0.69222,9.0175
16000,0.0003,-80,0.14,0.64333,8.9478
16000,0.0003,-80,0.16,0.59556,9.1558
16000,0.0003,-80,0.18,0.54778,9.0693
16000,0.0003,-80,0.2,0.50667,9.2116
16000,0.0004,-120,0.02,0.98667,9.8106
16000,0.0004,-120,0.04,0.98556,9.8911
16000,0.0004,-120,0.06,0.98333,10.197
16000,0.0004,-120,0.08,0.97667,10.191
16000,0.0004,-120,0.1,0.97444,10.118
16000,0.0004,-120,0.12,0.96222,10.174
16000,0.0004,-120,0.14,0.95111,10.104
16000,0.0004,-120,0.16,0.93889,9.9962
16000,0.0004,-120,0.18,0.92889,9.8035
16000,0.0004,-120,0.2,0.90667,9.8348
16000,0.0004,-110,0.02,0.98222,9.9243
16000,0.0004,-110,0.04,0.97556,9.7724
16000,0.0004,-110,0.06,0.97111,9.8633
