downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.0003,-110,0.0001,0.88889,10.164
16000,0.0003,-110,0.0002,0.88889,10.182
16000,0.0003,-110,0.0003,0.89444,10.239
16000,0.0003,-110,0.0004,0.89444,10.445
16000,0.0003,-110,0.0005,0.89444,10.388
16000,0.0003,-110,0.0006,0.92778,10.353
16000,0.0003,-110,0.0007,0.92778,10.217
16000,0.0003,-110,0.0008,0.92778,10.254
16000,0.0003,-110,0.0009,0.92778,10.228
16000,0.0003,-110,0.001,0.98333,10.305
16000,0.0003,-100,0.0001,0.88889,10.263
16000,0.0003,-100,0.0002,0.88889,9.8768
16000,0.0003,-100,0.0003,0.98889,10.008
16000,0.0003,-100,0.0004,0.98889,10.129
16000,0.0003,-100,0.0005,0.98889,10.04
16000,0.0003,-100,0.0006,0.98778,10.133
16000,0.0003,-100,0.0007,0.98778,10.262
16000,0.0003,-100,0.0008,0.98778,10.057
16000,0.0003,-100,0.0009,0.98778,10.089
16000,0.0003,-100,0.001,0.98667,10.139
16000,0.0003,-90,0.0001,0.88889,10.109
16000,0.0003,-90,0.0002,0.88889,10.089
16000,0.0003,-90,0.0003,0.98333,10.263
16000,0.0003,-90,0.0004,0.98333,10.072
16000,0.0003,-90,0.0005,0.98333,10.184
16000,0.0003,-90,0.0006,0.98111,9.9425
16000,0.0003,-90,0.0007,0.98111,9.7809
16000,0.0003,-90,0.0008,0.98111,9.8955
16000,0.0003,-90,0.0009,0.98111,9.8055
16000,0.0003,-90,0.001,0.98111,9.8452
16000,0.0003,-80,0.0001,0.88889,9.9673
16000,0.0003,-80,0.0002,0.88889,9.84
16000,0.0003,-80,0.0003,0.97444,9.8574
16000,0.0003,-80,0.0004,0.97444,9.8295
16000,0.0003,-80,0.0005,0.97444,9.886
16000,0.0003,-80,0.0006,0.97333,9.805
16000,0.0003,-80,0.0007,0.97333,9.7604
16000,0.0003,-80,0.0008,0.97333,9.8342
16000,0.0003,-80,0.0009,0.97333,9.8405
16000,0.0003,-80,0.001,0.96889,9.7624
16000,0.0004,-120,0.0001,0.88889,10.48
16000,0.0004,-120,0.0002,0.88889,10.562
16000,0.0004,-120,0.0003,0.88889,10.492
16000,0.0004,-120,0.0004,0.88667,10.387
16000,0.0004,-120,0.0005,0.88667,10.454
16000,0.0004,-120,0.0006,0.88667,10.437
16000,0.0004,-120,0.0007,0.88667,10.454
16000,0.0004,-120,0.0008,0.97889,10.531
16000,0.0004,-120,0.0009,0.97889,10.363
16000,0.0004,-120,0.001,0.97889,10.467
16000,0.0004,-110,0.0001,0.88889,10.771
16000,0.0004,-110,0.0002,0.88889,10.544
16000,0.0004,-110,0.0003,0.88889,10.424
16000,0.0004,-110,0.0004,0.98667,10.511
16000,0.0004,-110,0.0005,0.98667,10.57
16000,0.0004,-110,0.0006,0.98667,10.54
16000,0.0004,-110,0.0007,0.98667,10.497
16000,0.0004,-110,0.0008,0.98778,10.619
16000,0.0004,-110,0.0009,0.98778,10.466
16000,0.0004,-110,0.001,0.98778,10.584
16000,0.0004,-100,0.0001,0.88889,10.526
16000,0.0004,-100,0.0002,0.88889,10.435
