downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.008,-120,0.04,0.9777777777777777,9.622471067640516
16000,0.01,-120,0.04,0.9777777777777777,11.520411173502604
16000,0.016,-120,0.04,0.9844444444444445,9.532055324978298
16000,0.02,-120,0.04,0.9844444444444445,11.75452470779419
16000,0.03,-120,0.04,0.9811111111111112,11.010635958777534
16000,0.032,-120,0.04,0.9833333333333333,9.57930326461792
16000,0.04,-120,0.04,0.9811111111111112,12.023204962412517
16000,0.05,-120,0.04,0.8888888888888888,11.697693665822348
16000,0.06,-120,0.04,0.8888888888888888,11.065204673343233
16000,0.07,-120,0.04,0.8888888888888888,12.563291920555962
16000,0.08,-120,0.04,0.8888888888888888,12.122656769222683
16000,0.09,-120,0.04,0.8888888888888888,11.969821718004015
