downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.008,-120,0.008,0.9811111111111112,9.357819557189941
16000,0.008,-120,0.016,0.9777777777777777,9.054112434387207
16000,0.008,-120,0.032,0.9777777777777777,8.955637878841825
16000,0.008,-120,0.064,0.9766666666666667,8.721128039889866
16000,0.016,-120,0.008,0.8888888888888888,8.859139813317194
16000,0.016,-120,0.016,0.9855555555555555,9.267271889580622
16000,0.016,-120,0.032,0.9844444444444445,9.990460077921549
16000,0.016,-120,0.064,0.9788888888888889,8.809000915951199
16000,0.032,-120,0.008,0.8888888888888888,8.616274462805855
16000,0.032,-120,0.016,0.8888888888888888,8.66422865125868
16000,0.032,-120,0.032,0.9833333333333333,8.713832166459824
16000,0.032,-120,0.064,0.9844444444444445,8.574764728546143
