downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.008,-120,0.1,0.96667,9.3681
16000,0.008,-120,0.11,0.96556,9.5656
16000,0.008,-120,0.12,0.96222,9.2035
16000,0.008,-120,0.13,0.95333,9.4787
16000,0.008,-120,0.14,0.94778,9.3825
16000,0.008,-120,0.15,0.94444,10.131
16000,0.008,-120,0.16,0.94444,9.5754
16000,0.008,-120,0.17,0.93667,9.816
16000,0.008,-120,0.18,0.92889,10.207
16000,0.008,-120,0.19,0.92556,10.017
16000,0.008,-120,0.2,0.90556,9.8537
16000,0.008,-110,0.1,0.94222,10.087
16000,0.008,-110,0.11,0.93889,10.173
16000,0.008,-110,0.12,0.93778,9.9228
16000,0.008,-110,0.13,0.92111,10.019
16000,0.008,-110,0.14,0.91556,9.2661
16000,0.008,-110,0.15,0.91222,9.1836
16000,0.008,-110,0.16,0.90333,9.2861
16000,0.008,-110,0.17,0.88444,9.3787
16000,0.008,-110,0.18,0.87444,9.3457
16000,0.008,-110,0.19,0.85444,9.5127
16000,0.008,-110,0.2,0.83444,9.4965
16000,0.008,-100,0.1,0.89556,9.306
16000,0.008,-100,0.11,0.88667,9.654
16000,0.008,-100,0.12,0.88,10.191
16000,0.008,-100,0.13,0.85889,9.9376
16000,0.008,-100,0.14,0.84778,9.8611
16000,0.008,-100,0.15,0.83444,9.6369
16000,0.008,-100,0.16,0.82667,9.8642
16000,0.008,-100,0.17,0.79889,9.767
16000,0.008,-100,0.18,0.78111,9.7153
16000,0.008,-100,0.19,0.76333,9.9067
16000,0.008,-100,0.2,0.73444,9.827
16000,0.008,-90,0.1,0.81889,9.6843
16000,0.008,-90,0.11,0.80667,9.2983
16000,0.008,-90,0.12,0.78444,9.3771
16000,0.008,-90,0.13,0.76444,9.4975
16000,0.008,-90,0.14,0.75111,9.4666
16000,0.008,-90,0.15,0.72444,9.2305
16000,0.008,-90,0.16,0.70333,9.5296
16000,0.008,-90,0.17,0.67111,9.5843
16000,0.008,-90,0.18,0.64778,9.5294
16000,0.008,-90,0.19,0.63444,10.247
16000,0.008,-90,0.2,0.59,10.343
16000,0.008,-80,0.1,0.69556,10.075
16000,0.008,-80,0.11,0.68667,10.088
16000,0.008,-80,0.12,0.66,10.475
16000,0.008,-80,0.13,0.62778,9.7796
16000,0.008,-80,0.14,0.60667,9.7901
16000,0.008,-80,0.15,0.58111,10.372
16000,0.008,-80,0.16,0.56444,10.089
16000,0.008,-80,0.17,0.52444,10.172
16000,0.008,-80,0.18,0.51111,9.6083
16000,0.008,-80,0.19,0.49222,9.5159
16000,0.008,-80,0.2,0.44667,9.3213
16000,0.016,-120,0.1,0.97556,9.3931
16000,0.016,-120,0.11,0.97556,10.119
16000,0.016,-120,0.12,0.97222,9.3513
16000,0.016,-120,0.13,0.96556,9.6606
16000,0.016,-120,0.14,0.96556,9.5071
16000,0.016,-120,0.15,0.96111,9.5487
16000,0.016,-120,0.16,0.96111,10.155
16000,0.016,-120,0.17,0.95444,9.9492
16000,0.016,-120,0.18,0.94889,9.9707
16000,0.016,-120,0.19,0.94889,9.8236
16000,0.016,-120,0.2,0.94,9.8133
16000,0.016,-110,0.1,0.96111,9.8072
16000,0.016,-110,0.11,0.96111,9.6566
16000,0.016,-110,0.12,0.95444,10.358
16000,0.016,-110,0.13,0.94333,9.9729
16000,0.016,-110,0.14,0.94333,9.4189
