downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.01,-120,0.1,0.96667,13.17
16000,0.01,-120,0.11,0.96556,12.888
16000,0.01,-120,0.12,0.96222,12.643
16000,0.01,-120,0.13,0.96111,13.881
16000,0.01,-120,0.14,0.95556,14.045
16000,0.01,-120,0.15,0.95222,14.107
16000,0.01,-120,0.16,0.94444,13.55
16000,0.01,-120,0.17,0.94222,13.352
16000,0.01,-120,0.18,0.93222,13.877
16000,0.01,-120,0.19,0.92667,13.823
16000,0.01,-120,0.2,0.91889,13.886
16000,0.01,-110,0.1,0.94444,12.615
16000,0.01,-110,0.11,0.94222,12.702
16000,0.01,-110,0.12,0.93889,12.487
16000,0.01,-110,0.13,0.93222,12.891
16000,0.01,-110,0.14,0.92667,11.88
16000,0.01,-110,0.15,0.91778,12.05
16000,0.01,-110,0.16,0.90778,12.132
16000,0.01,-110,0.17,0.89667,12.939
16000,0.01,-110,0.18,0.88333,12.652
16000,0.01,-110,0.19,0.87,12.775
16000,0.01,-110,0.2,0.85556,12.89
16000,0.01,-100,0.1,0.90778,13.184
16000,0.01,-100,0.11,0.89222,12.927
16000,0.01,-100,0.12,0.88222,13.212
16000,0.01,-100,0.13,0.87,13.041
16000,0.01,-100,0.14,0.85889,12.061
16000,0.01,-100,0.15,0.84444,12.323
16000,0.01,-100,0.16,0.83,12.288
16000,0.01,-100,0.17,0.82222,12.181
16000,0.01,-100,0.18,0.80222,12.141
16000,0.01,-100,0.19,0.78556,12.194
16000,0.01,-100,0.2,0.76556,11.825
16000,0.01,-90,0.1,0.83556,13.022
16000,0.01,-90,0.11,0.82333,12.947
16000,0.01,-90,0.12,0.79778,13.456
16000,0.01,-90,0.13,0.78444,13.633
16000,0.01,-90,0.14,0.76556,12.965
16000,0.01,-90,0.15,0.74444,13.194
16000,0.01,-90,0.16,0.71333,13.237
16000,0.01,-90,0.17,0.69222,12.555
16000,0.01,-90,0.18,0.67667,12.514
16000,0.01,-90,0.19,0.65222,12.567
16000,0.01,-90,0.2,0.62889,11.954
16000,0.01,-80,0.1,0.72556,12.075
16000,0.01,-80,0.11,0.7,12.635
16000,0.01,-80,0.12,0.67333,12.354
16000,0.01,-80,0.13,0.65889,12.657
16000,0.01,-80,0.14,0.63,13.579
16000,0.01,-80,0.15,0.6,13.757
16000,0.01,-80,0.16,0.58111,13.073
16000,0.01,-80,0.17,0.55778,13.319
16000,0.01,-80,0.18,0.52889,13.077
16000,0.01,-80,0.19,0.50556,13.17
16000,0.01,-80,0.2,0.48667,13.083
16000,0.02,-120,0.1,0.97778,13.597
16000,0.02,-120,0.11,0.97778,12.749
16000,0.02,-120,0.12,0.97556,12.3
16000,0.02,-120,0.13,0.97556,12.178
16000,0.02,-120,0.14,0.96556,12.528
16000,0.02,-120,0.15,0.96556,12.408
16000,0.02,-120,0.16,0.96222,12.781
16000,0.02,-120,0.17,0.96222,12.612
16000,0.02,-120,0.18,0.95556,12.593
16000,0.02,-120,0.19,0.95556,13.31
16000,0.02,-120,0.2,0.94222,13.587
16000,0.02,-110,0.1,0.96444,13.701
16000,0.02,-110,0.11,0.96444,13.237
16000,0.02,-110,0.12,0.95333,12.688
16000,0.02,-110,0.13,0.95333,13.234
16000,0.02,-110,0.14,0.94333,13.125
16000,0.02,-110,0.15,0.94333,12.924
16000,0.02,-110,0.16,0.93444,12.176
16000,0.02,-110,0.17,0.93444,12.906
16000,0.02,-110,0.18,0.92111,12.505
16000,0.02,-110,0.19,0.92111,12.157
16000,0.02,-110,0.2,0.90444,12.335
